case_id,company,mechanism,split,evaluation_contract,cutoff,target,horizon,metric,unit,actual,point_evaluable,confidence,regime,human_required,source_ids,point_in_time_note,v74,v74_low,v74_high,v74_hit,v74_interval_score,v74_point_error,v74_margin_error_pp,v74_direction_correct,v74_sign_correct,v75,v75_low,v75_high,v75_hit,v75_interval_score,v75_point_error,v75_margin_error_pp,v75_direction_correct,v75_sign_correct
AMD@FY2017,AMD,compute-platforms,calibration,point-and-interval,2018-02-27,FY2018,1,revenue,USD bn,6.475,True,80%,product-ramp,True,AMD_FY2017_RESULTS / AMD_EPYC_20170620 / AMD_FY2019_10K / AMD_FY2020_10K,"Use the FY2017 values known at the cutoff, not later recast comparatives. Ryzen and EPYC supported a product-platform ramp, but server share and channel sell-through remained uncertain.",6.2,5.58,6.820000000000001,True,0.1915057915057917,0.04247104247104239,,True,,6.4,5.888000000000001,6.912000000000001,True,0.15814671814671816,0.011583011583011473,,True,
AMD@FY2017,AMD,compute-platforms,calibration,point-and-interval,2018-02-27,FY2018,1,profit,USD bn,0.451,True,80%,product-ramp,True,AMD_FY2017_RESULTS / AMD_EPYC_20170620 / AMD_FY2019_10K / AMD_FY2020_10K,"Use the FY2017 values known at the cutoff, not later recast comparatives. Ryzen and EPYC supported a product-platform ramp, but server share and channel sell-through remained uncertain.",0.35,0.10199999999999995,0.598,True,0.0766023166023166,,1.3200896749283861,,True,0.42,0.22799999999999998,0.612,True,0.05930501930501931,,0.402750965250967,,True
AMD@FY2017,AMD,compute-platforms,calibration,point-and-interval,2018-02-27,FY2019,2,revenue,USD bn,6.731,True,80%,product-ramp,True,AMD_FY2017_RESULTS / AMD_EPYC_20170620 / AMD_FY2019_10K / AMD_FY2020_10K,"Use the FY2017 values known at the cutoff, not later recast comparatives. Ryzen and EPYC supported a product-platform ramp, but server share and channel sell-through remained uncertain.",6.8,5.5760000000000005,8.024,True,0.3636903877581338,0.01025107710592779,,True,,6.9,5.934,7.866000000000001,True,0.2870301589659785,0.025107710592779747,,True,
AMD@FY2017,AMD,compute-platforms,calibration,point-and-interval,2018-02-27,FY2019,2,profit,USD bn,0.631,True,80%,product-ramp,True,AMD_FY2017_RESULTS / AMD_EPYC_20170620 / AMD_FY2019_10K / AMD_FY2020_10K,"Use the FY2017 values known at the cutoff, not later recast comparatives. Ryzen and EPYC supported a product-platform ramp, but server share and channel sell-through remained uncertain.",0.55,0.07400000000000001,1.026,True,0.14143515079482988,,1.286300436085888,,True,0.6,0.25499999999999995,0.9450000000000001,True,0.102510771059278,,0.6788835562904925,,True
AMD@FY2017,AMD,compute-platforms,calibration,point-and-interval,2018-02-27,FY2020,3,revenue,USD bn,9.763,True,80%,product-ramp,True,AMD_FY2017_RESULTS / AMD_EPYC_20170620 / AMD_FY2019_10K / AMD_FY2020_10K,"Use the FY2017 values known at the cutoff, not later recast comparatives. Ryzen and EPYC supported a product-platform ramp, but server share and channel sell-through remained uncertain.",7.5,5.625,9.375,False,0.7815220731332582,0.2317935060944382,,True,,8.4,6.5520000000000005,10.248,True,0.37857216019666073,0.13960872682577072,,True,
AMD@FY2017,AMD,compute-platforms,calibration,point-and-interval,2018-02-27,FY2020,3,profit,USD bn,1.369,True,80%,product-ramp,True,AMD_FY2017_RESULTS / AMD_EPYC_20170620 / AMD_FY2019_10K / AMD_FY2020_10K,"Use the FY2017 values known at the cutoff, not later recast comparatives. Ryzen and EPYC supported a product-platform ramp, but server share and channel sell-through remained uncertain.",0.75,0.0,1.5,True,0.15364129878111235,,4.022329202089522,,True,1.0,0.32799999999999996,1.6720000000000002,True,0.1376626037078767,,2.1175672973276187,,True
AMD@FY2019,AMD,compute-platforms,holdout,point-and-interval-with-perimeter-tail,2020-02-04,FY2020,1,revenue,USD bn,9.763,True,80%,platform-ramp-perimeter,True,AMD_FY2019_10K / AMD_CES_20190109 / AMD_EPYC_ROME_2019 / AMD_FY2020_10K / AMD_FY2021_10K,Rome and Ryzen supported a larger organic ramp. Xilinx was not public at cutoff; FY2022 therefore retains an anonymous perimeter tail and is not scored as a point forecast.,8.2,7.215999999999999,9.184,False,0.7946327972959137,0.16009423332991915,,True,,8.9,8.01,9.790000000000001,True,0.18232100788692013,0.08839496056539993,,True,
AMD@FY2019,AMD,compute-platforms,holdout,point-and-interval-with-perimeter-tail,2020-02-04,FY2020,1,profit,USD bn,1.369,True,80%,platform-ramp-perimeter,True,AMD_FY2019_10K / AMD_CES_20190109 / AMD_EPYC_ROME_2019 / AMD_FY2020_10K / AMD_FY2021_10K,Rome and Ryzen supported a larger organic ramp. Xilinx was not public at cutoff; FY2022 therefore retains an anonymous perimeter tail and is not scored as a point forecast.,0.8,0.39000000000000007,1.21,False,0.2468503533749872,,4.266231641113912,,True,1.05,0.694,1.4060000000000001,True,0.07292840315476802,,2.2245763931007594,,True
AMD@FY2019,AMD,compute-platforms,holdout,point-and-interval-with-perimeter-tail,2020-02-04,FY2021,2,revenue,USD bn,16.434,True,80%,platform-ramp-perimeter,True,AMD_FY2019_10K / AMD_CES_20190109 / AMD_EPYC_ROME_2019 / AMD_FY2020_10K / AMD_FY2021_10K,Rome and Ryzen supported a larger organic ramp. Xilinx was not public at cutoff; FY2022 therefore retains an anonymous perimeter tail and is not scored as a point forecast.,10.5,8.19,12.81,False,2.4863088718510413,0.3610806863818912,,True,,14.2,11.644,16.755999999999997,True,0.31106243154435903,0.13593769015455773,,True,
AMD@FY2019,AMD,compute-platforms,holdout,point-and-interval-with-perimeter-tail,2020-02-04,FY2021,2,profit,USD bn,3.648,True,80%,platform-ramp-perimeter,True,AMD_FY2019_10K / AMD_CES_20190109 / AMD_EPYC_ROME_2019 / AMD_FY2020_10K / AMD_FY2021_10K,Rome and Ryzen supported a larger organic ramp. Xilinx was not public at cutoff; FY2022 therefore retains an anonymous perimeter tail and is not scored as a point forecast.,1.5,0.44999999999999996,2.55,False,0.7959109163928443,,7.91216815313201,,True,3.0,1.864,4.136,True,0.13824996957527078,,1.0711218754660106,,True
